ID,Gender,Age,Education_Level,Job_Role,Experience_Years,Region,Salary_LPA
159,Female,23,Graduate,Technician,2,Metro,1.5
160,Female,36,Postgraduate,Data Analyst,5,Rural,3.03
161,Female,25,Graduate,Data Analyst,5,Metro,5.37
162,Male,37,Graduate,Data Analyst,10,Rural,5.56
163,Female,40,PhD,Consultant,17,Metro,16.18
164,Male,26,Graduate,Sales Executive,1,Metro,3.66
165,Female,38,Postgraduate,HR Executive,9,Metro,5.33
166,Male,34,Postgraduate,HR Executive,4,Metro,5.7
167,Female,37,Postgraduate,Consultant,14,Tier-2,11.84
168,Male,45,Graduate,Technician,20,Tier-2,4.93
169,Female,30,Graduate,Sales Executive,3,Metro,3.8
170,Male,26,PhD,Research Scholar,6,Metro,7.52
171,Female,25,Graduate,Sales Executive,3,Metro,3.68
172,Female,26,Graduate,HR Executive,4,Rural,2.42
173,Male,31,Graduate,Data Analyst,4,Metro,4.54
174,Male,34,PhD,Research Scholar,0,Metro,5.76
175,Male,33,Graduate,Data Analyst,0,Metro,3.35
176,Male,37,Postgraduate,Manager,13,Tier-2,16.77
177,Male,32,Postgraduate,Consultant,10,Metro,13.31
178,Male,42,PhD,Research Scholar,18,Metro,10.37
179,Female,30,Postgraduate,HR Executive,1,Tier-2,2.03
180,Female,51,Postgraduate,Manager,27,Rural,17.48
181,Male,36,Graduate,Teacher,1,Tier-2,2.89
182,Male,25,Postgraduate,Manager,5,Metro,13.35
183,Female,24,Graduate,HR Executive,4,Metro,4.66
184,Male,35,PhD,Research Scholar,0,Rural,3.61
185,Male,30,Postgraduate,HR Executive,5,Metro,4.23
186,Male,36,Postgraduate,HR Executive,4,Metro,4.01
187,Male,35,Graduate,Technician,6,Metro,3.97
188,Male,31,Postgraduate,HR Executive,0,Rural,1.69
189,Female,26,Graduate,Software Engineer,4,Tier-2,4.85
190,Male,21,12th Pass,Sales Executive,0,Tier-2,2.84
191,Female,28,Graduate,Data Analyst,5,Metro,5.14
192,Female,37,Graduate,Technician,0,Tier-2,2.48
193,Female,33,Graduate,HR Executive,12,Metro,6.02
194,Male,23,Graduate,HR Executive,2,Metro,4.55
195,Male,33,PhD,Research Scholar,10,Rural,4.69
196,Male,34,Graduate,Data Analyst,6,Metro,5.14
197,Male,25,Postgraduate,Consultant,3,Metro,9.23
198,Female,33,Graduate,Software Engineer,2,Rural,3
199,Male,32,Postgraduate,Manager,9,Metro,15.64
200,Female,23,Graduate,Data Analyst,0,Tier-2,3.24
201,Female,34,PhD,Teacher,0,Tier-2,2.29
202,Female,35,Postgraduate,Data Analyst,7,Rural,4.47
203,Male,39,Postgraduate,Data Analyst,16,Tier-2,7.63
204,Female,39,Postgraduate,Consultant,12,Tier-2,9.72
205,Female,22,12th Pass,Sales Executive,1,Metro,2.25
206,Male,25,Graduate,HR Executive,4,Metro,5.05
207,Male,35,Graduate,Teacher,9,Rural,2.1
208,Male,35,Graduate,Software Engineer,7,Metro,7.82
209,Male,35,Graduate,Sales Executive,5,Tier-2,3.55
210,Male,58,Postgraduate,Teacher,22,Metro,7.33
211,Male,35,Postgraduate,Consultant,10,Metro,11.87
212,Male,39,Postgraduate,Data Analyst,5,Metro,6.69
213,Female,38,Postgraduate,Manager,5,Metro,11.25
214,Male,36,Graduate,Software Engineer,7,Rural,6.38
215,Female,29,Postgraduate,HR Executive,1,Rural,2.89
216,Male,37,Postgraduate,Consultant,3,Metro,8.03
217,Female,26,PhD,Research Scholar,0,Tier-2,3.37
218,Male,30,Postgraduate,Consultant,4,Tier-2,6.84
219,Female,28,Postgraduate,Teacher,2,Tier-2,2.6
220,Male,32,Postgraduate,Manager,3,Tier-2,9.28
221,Male,48,Graduate,Technician,22,Metro,6.46
222,Female,21,12th Pass,Technician,0,Metro,2.25
223,Female,36,Graduate,Technician,13,Tier-2,2.95
224,Male,21,12th Pass,Sales Executive,0,Rural,2.37
225,Female,28,Graduate,Data Analyst,3,Tier-2,4.15
226,Male,39,PhD,Research Scholar,16,Rural,5.36
227,Male,32,Postgraduate,Manager,5,Tier-2,10.99
228,Female,24,Postgraduate,HR Executive,2,Tier-2,2.84
229,Male,26,Postgraduate,Manager,1,Rural,7.52
230,Male,36,Graduate,Data Analyst,15,Metro,9.21
231,Male,26,Graduate,Software Engineer,0,Metro,6
232,Male,33,Postgraduate,Consultant,13,Tier-2,11.83
233,Male,32,Postgraduate,Manager,3,Metro,11.25
234,Male,27,PhD,Teacher,3,Metro,3.42
235,Female,47,Graduate,HR Executive,8,Tier-2,3.85
236,Male,36,PhD,Research Scholar,14,Metro,9.57
237,Male,21,12th Pass,Sales Executive,1,Rural,1.5
238,Female,33,Postgraduate,Data Analyst,13,Rural,5.93
239,Male,27,Postgraduate,Data Analyst,1,Metro,4.91
240,Male,37,Graduate,Sales Executive,17,Metro,7.88
241,Female,26,Graduate,Sales Executive,3,Tier-2,2.2
242,Female,31,Graduate,Teacher,5,Metro,3.05
243,Male,35,Graduate,Technician,3,Metro,2.81
244,Female,38,Postgraduate,Consultant,11,Tier-2,10.79
245,Female,23,Graduate,Data Analyst,0,Tier-2,1.82
246,Female,29,Postgraduate,Manager,2,Metro,9.53
247,Male,28,Graduate,Sales Executive,5,Tier-2,4.08
248,Male,27,Postgraduate,Consultant,4,Tier-2,7.02
249,Male,44,Postgraduate,Consultant,11,Metro,13.3
250,Female,34,Postgraduate,Consultant,3,Tier-2,6.14
251,Female,23,Graduate,Technician,2,Metro,3.27
252,Female,38,Graduate,Software Engineer,2,Metro,4.76
253,Male,46,Postgraduate,Data Analyst,13,Tier-2,8.35
254,Male,39,Graduate,Teacher,17,Rural,3.58
255,Male,21,12th Pass,Technician,0,Metro,3.16
256,Female,28,Graduate,Sales Executive,2,Rural,1.5
257,Male,40,Postgraduate,HR Executive,9,Metro,5.35
258,Female,27,Postgraduate,Manager,0,Metro,9.11
259,Female,35,Postgraduate,HR Executive,14,Metro,6.86
260,Male,37,Postgraduate,HR Executive,8,Metro,5.81
261,Male,25,Graduate,Teacher,3,Metro,2.85
262,Male,31,PhD,Consultant,2,Rural,5.09
263,Female,21,Graduate,Teacher,1,Metro,1.79
264,Male,24,Graduate,Sales Executive,0,Metro,1.77
265,Male,30,Postgraduate,Teacher,4,Tier-2,2.65
266,Female,23,Graduate,Data Analyst,0,Metro,2.19
267,Male,43,Graduate,Software Engineer,6,Tier-2,7.03
268,Male,21,Graduate,Data Analyst,0,Metro,4.37
269,Female,28,Graduate,Teacher,1,Metro,2.77
270,Female,32,Graduate,Software Engineer,11,Tier-2,7.89
271,Male,42,PhD,Teacher,15,Metro,5.64
272,Male,21,Graduate,Sales Executive,1,Metro,1.54
273,Female,40,Postgraduate,HR Executive,0,Metro,4.04
274,Female,32,Postgraduate,Manager,10,Metro,15.21
275,Male,25,Postgraduate,Consultant,3,Tier-2,6.35
276,Female,35,Graduate,Software Engineer,0,Metro,3.79
277,Female,33,Postgraduate,Manager,2,Tier-2,8.43
278,Male,27,Postgraduate,Consultant,2,Tier-2,6.31
279,Male,32,Graduate,HR Executive,5,Metro,4.39
280,Female,29,Graduate,Data Analyst,5,Rural,3.19
281,Male,32,Postgraduate,Data Analyst,6,Rural,4.33
282,Female,36,Postgraduate,Consultant,10,Tier-2,9.07
283,Female,43,Graduate,Software Engineer,16,Metro,11.97
284,Female,23,Graduate,Sales Executive,2,Metro,2.08
285,Male,46,Postgraduate,Manager,17,Metro,21.39
286,Female,21,Graduate,HR Executive,1,Metro,3.2
287,Male,30,PhD,Consultant,7,Metro,11.36
288,Male,36,PhD,Research Scholar,7,Tier-2,5.03
289,Male,33,Postgraduate,Data Analyst,7,Metro,7.09
290,Female,27,PhD,Research Scholar,3,Rural,3.54
291,Male,30,Graduate,Technician,7,Metro,3.62
292,Female,28,Graduate,Technician,4,Tier-2,3.09
293,Male,27,Graduate,Technician,4,Rural,2.67
294,Female,37,Postgraduate,Manager,10,Metro,15.22
295,Male,34,Postgraduate,Manager,4,Rural,8.5
296,Male,27,Graduate,Sales Executive,2,Metro,2.42
297,Other,38,Graduate,HR Executive,13,Rural,4.71
298,Male,34,Graduate,HR Executive,10,Rural,5.09
299,Male,37,PhD,Research Scholar,8,Metro,7.58
300,Female,36,PhD,Consultant,0,Tier-2,3.75
301,Female,26,Postgraduate,Teacher,0,Metro,2.54
302,Male,28,Postgraduate,Manager,4,Metro,12.02
303,Female,37,Postgraduate,HR Executive,0,Metro,2.51
304,Female,36,Graduate,Data Analyst,11,Metro,7.7
305,Male,31,Postgraduate,Consultant,0,Tier-2,5.92
306,Male,32,Postgraduate,Manager,1,Metro,9.42
307,Male,40,Postgraduate,Consultant,17,Tier-2,14.04
308,Male,27,Graduate,Technician,7,Metro,2.93
309,Male,35,PhD,Consultant,3,Rural,6.11
310,Male,30,Postgraduate,Manager,7,Metro,15.35
311,Male,30,Graduate,Data Analyst,1,Metro,4.44
312,Male,39,Postgraduate,Data Analyst,13,Tier-2,7.47
313,Male,37,PhD,Consultant,14,Rural,10.46
314,Male,37,Graduate,Teacher,8,Tier-2,2.95
315,Female,41,Postgraduate,Manager,1,Metro,8.38
316,Female,32,Postgraduate,HR Executive,0,Metro,3.76
317,Male,36,Postgraduate,Teacher,9,Metro,4.18
318,Male,29,Postgraduate,Consultant,8,Metro,10.9
319,Female,34,Graduate,Technician,14,Metro,4.5
320,Female,31,Graduate,HR Executive,1,Metro,2.83
321,Male,32,Graduate,Teacher,7,Tier-2,3.18
322,Male,36,Graduate,Teacher,16,Tier-2,4.12
323,Male,26,Graduate,Technician,2,Tier-2,2.81
324,Female,46,Postgraduate,Manager,16,Metro,18.69
325,Female,24,Graduate,Teacher,1,Tier-2,1.81
326,Female,23,Postgraduate,HR Executive,1,Metro,3.98
327,Female,40,Postgraduate,Manager,5,Metro,12.1
328,Female,37,Graduate,HR Executive,15,Tier-2,5.86
329,Male,36,Postgraduate,Data Analyst,0,Tier-2,2.14
330,Female,36,Postgraduate,Consultant,2,Tier-2,6.15
331,Male,31,Postgraduate,Data Analyst,3,Metro,3.65
332,Male,25,Graduate,Sales Executive,1,Rural,2.16
333,Male,32,Postgraduate,HR Executive,4,Metro,5.9
334,Female,27,PhD,Research Scholar,4,Rural,3.19
335,Female,38,Postgraduate,Teacher,14,Metro,3.75
336,Female,30,Graduate,Sales Executive,6,Metro,3.03
337,Male,26,Graduate,Teacher,5,Metro,2.98
338,Male,29,Graduate,HR Executive,9,Metro,6.26
339,Male,34,Postgraduate,Manager,7,Metro,14.94
340,Male,28,Graduate,Technician,8,Rural,2.87
341,Male,26,Graduate,Software Engineer,3,Metro,7.41
342,Male,33,Postgraduate,HR Executive,6,Tier-2,4.47
343,Female,33,Graduate,Teacher,4,Rural,2.24
344,Female,28,Graduate,HR Executive,8,Tier-2,3.79
345,Male,28,Graduate,HR Executive,7,Metro,5.35
346,Female,33,Graduate,Software Engineer,9,Rural,5.17
347,Male,21,Graduate,Software Engineer,0,Metro,5.26
348,Male,22,Graduate,Teacher,1,Metro,3.58
349,Female,26,Graduate,Sales Executive,5,Tier-2,3.45
350,Female,30,Postgraduate,Manager,3,Metro,10.07
351,Male,34,Graduate,Software Engineer,8,Tier-2,7.13
352,Female,42,Postgraduate,Data Analyst,15,Metro,8.12
353,Female,38,Postgraduate,Manager,11,Metro,15.3
354,Male,30,Graduate,HR Executive,8,Metro,5.07
355,Female,31,Postgraduate,HR Executive,9,Rural,3.23
356,Male,24,Graduate,Technician,1,Rural,1.5
357,Female,31,Graduate,Software Engineer,8,Metro,7.05
358,Female,29,Postgraduate,Manager,9,Metro,13.47
359,Female,34,Postgraduate,Consultant,2,Metro,6.91
360,Male,26,Graduate,HR Executive,2,Tier-2,3.75
361,Male,35,Postgraduate,Consultant,11,Rural,9.74
362,Female,42,Postgraduate,Consultant,18,Rural,10.62
363,Male,31,Postgraduate,Manager,10,Tier-2,14.17
364,Female,34,Graduate,Teacher,5,Tier-2,1.75
365,Male,36,Postgraduate,Data Analyst,5,Metro,4.82
366,Male,29,Postgraduate,Manager,5,Metro,13.83
367,Male,33,Postgraduate,Consultant,4,Tier-2,6.76
368,Female,32,Postgraduate,Data Analyst,4,Metro,5.19
369,Male,32,Graduate,Sales Executive,1,Tier-2,2.64
370,Male,26,Graduate,Teacher,5,Metro,4.02
371,Male,32,Graduate,Technician,6,Metro,3.89
372,Male,35,Postgraduate,Data Analyst,11,Metro,8.62
373,Male,42,Postgraduate,Data Analyst,19,Rural,7.69
374,Male,38,PhD,Teacher,13,Tier-2,4.59
375,Male,47,Postgraduate,Teacher,18,Metro,6.17
376,Male,26,Postgraduate,Consultant,3,Rural,4.9
377,Female,38,Postgraduate,Manager,14,Metro,17.14
378,Male,33,PhD,Teacher,10,Metro,4.23
379,Male,47,Postgraduate,Manager,19,Metro,22.76
380,Male,26,PhD,Teacher,0,Tier-2,2.78
381,Male,26,Graduate,Software Engineer,0,Metro,4.24
382,Female,27,Graduate,HR Executive,5,Tier-2,2.98
383,Female,21,Graduate,Teacher,1,Tier-2,1.78
384,Male,28,PhD,Consultant,6,Metro,10.87
385,Female,26,Graduate,Data Analyst,6,Metro,5.12
386,Female,33,Graduate,HR Executive,11,Tier-2,4.71
387,Female,34,Postgraduate,Manager,1,Tier-2,7.67
388,Female,45,Postgraduate,Manager,21,Metro,22.54
389,Male,38,Graduate,Software Engineer,4,Metro,7.62
390,Other,27,Postgraduate,Teacher,5,Metro,3.4
391,Other,25,Postgraduate,Consultant,3,Metro,7.01
392,Male,35,PhD,Consultant,9,Metro,10.98
393,Male,22,12th Pass,Sales Executive,0,Metro,1.5
394,Female,44,Graduate,HR Executive,5,Tier-2,4.61
395,Male,40,Graduate,Teacher,14,Metro,4.71
396,Female,28,Graduate,Teacher,8,Tier-2,2.58
397,Male,21,12th Pass,Sales Executive,0,Tier-2,2.46
398,Male,41,Postgraduate,HR Executive,5,Metro,5.34
399,Female,31,Graduate,Software Engineer,11,Tier-2,7.88
400,Female,40,PhD,Research Scholar,14,Metro,6.79
401,Male,21,Graduate,Software Engineer,1,Tier-2,3.62
402,Female,27,Graduate,Data Analyst,0,Metro,3.6
403,Male,32,PhD,Research Scholar,2,Metro,4.45
404,Female,32,Postgraduate,Data Analyst,4,Tier-2,3.73
405,Male,28,Postgraduate,Teacher,1,Metro,3.17
406,Female,36,Graduate,Data Analyst,12,Metro,8.41
407,Male,24,Graduate,Technician,4,Metro,3.98
408,Female,31,Graduate,Sales Executive,7,Metro,4.57
409,Female,32,Postgraduate,Manager,10,Rural,9.86
410,Male,35,Graduate,Teacher,12,Metro,5.89
411,Female,36,Postgraduate,Teacher,3,Metro,3.04
412,Female,24,Graduate,Software Engineer,4,Metro,6.97
413,Male,21,12th Pass,Technician,1,Metro,1.58
414,Male,40,Postgraduate,Manager,11,Tier-2,13.99
415,Female,34,Postgraduate,Consultant,0,Metro,5.13
416,Female,26,Graduate,Teacher,2,Tier-2,2.64
417,Female,42,Graduate,Technician,6,Metro,2.82
418,Male,32,PhD,Consultant,9,Metro,13.09
419,Female,40,Postgraduate,Consultant,14,Tier-2,10.97
420,Female,32,Graduate,HR Executive,7,Tier-2,3.41
421,Female,46,Postgraduate,Consultant,16,Metro,15.49
422,Female,44,Postgraduate,HR Executive,9,Metro,5.88
423,Male,30,Graduate,Sales Executive,6,Metro,3.9
424,Male,38,Postgraduate,HR Executive,5,Metro,5.97
425,Male,36,Postgraduate,HR Executive,8,Metro,6.85
426,Male,41,Postgraduate,Teacher,14,Tier-2,4.05
427,Female,25,Graduate,Software Engineer,4,Tier-2,5.72
428,Female,36,PhD,Consultant,7,Rural,6.12
429,Male,39,Graduate,Technician,15,Tier-2,4.39
430,Female,21,Graduate,Technician,1,Tier-2,1.5
431,Male,23,Graduate,Sales Executive,0,Tier-2,1.53
432,Male,21,Graduate,Software Engineer,1,Rural,3.48
433,Male,30,Postgraduate,Manager,3,Metro,11.42
434,Female,37,Graduate,Data Analyst,13,Metro,7.09
435,Female,42,Postgraduate,HR Executive,1,Metro,3.4
436,Male,32,Postgraduate,HR Executive,6,Metro,5.48
437,Female,43,Graduate,Software Engineer,22,Metro,14.12
438,Male,22,Graduate,HR Executive,1,Metro,3.13
439,Female,21,Graduate,Software Engineer,0,Metro,3.23
440,Female,31,Graduate,Sales Executive,2,Rural,1.5
441,Female,34,PhD,Research Scholar,13,Rural,4.71
442,Male,31,PhD,Teacher,6,Tier-2,2.32
443,Male,21,12th Pass,Sales Executive,0,Metro,3.41
444,Male,31,Postgraduate,Consultant,0,Rural,3.52
445,Female,22,12th Pass,Sales Executive,0,Rural,1.5
446,Male,36,Postgraduate,Manager,8,Rural,10.27
447,Male,34,PhD,Research Scholar,5,Tier-2,4.53
448,Male,25,Graduate,Data Analyst,4,Metro,4.19
449,Male,28,Postgraduate,Manager,4,Metro,13.22
450,Male,24,Graduate,HR Executive,4,Rural,3.31
451,Male,31,Graduate,Teacher,5,Metro,2.37
452,Female,38,PhD,Research Scholar,0,Metro,4.16
453,Male,25,Graduate,Software Engineer,4,Metro,5.89
454,Female,35,Postgraduate,Manager,8,Metro,13.45
455,Female,28,Postgraduate,Consultant,3,Rural,4.53
456,Male,26,Graduate,Sales Executive,2,Metro,3.72
457,Male,31,Graduate,Data Analyst,0,Metro,4.16
458,Female,24,Postgraduate,Data Analyst,1,Rural,2.91
459,Female,28,Postgraduate,Consultant,2,Metro,5.73
460,Male,23,Postgraduate,Consultant,3,Rural,5.43
461,Male,45,Graduate,HR Executive,22,Metro,9.24
462,Female,32,Postgraduate,Manager,5,Tier-2,10.38
463,Female,27,PhD,Research Scholar,2,Metro,4.42
464,Female,33,Graduate,Data Analyst,7,Metro,4.79
465,Male,31,Graduate,Software Engineer,8,Metro,8.77
466,Male,30,Postgraduate,Manager,5,Rural,8.57
467,Female,36,Graduate,Data Analyst,1,Metro,4.09
468,Male,37,Graduate,HR Executive,14,Metro,7.02
469,Male,28,Postgraduate,HR Executive,3,Rural,3.11
470,Female,27,PhD,Consultant,3,Metro,7.71
471,Female,30,Postgraduate,Consultant,2,Tier-2,5.83
472,Female,21,Graduate,Sales Executive,1,Tier-2,2.73
473,Male,21,Graduate,Data Analyst,1,Metro,2.81
474,Other,41,Postgraduate,Manager,21,Metro,20.57
475,Male,43,Graduate,Data Analyst,13,Rural,5.76
476,Male,30,Graduate,Sales Executive,2,Metro,1.83
477,Female,36,Graduate,Software Engineer,0,Metro,4.89
478,Female,34,Graduate,Software Engineer,3,Tier-2,5.06
479,Female,53,Graduate,Data Analyst,0,Metro,3.23
480,Female,39,Graduate,Data Analyst,1,Tier-2,2.77
